Week,Date,Gold_Net,Silver_Net,DXY_Net,EUR_Net,Gold_4wk_Avg,Signal_Strength,Confirmation_Score,Decision,Position_Size,Entry_Price,Exit_Price,P/L,Status,Notes
1,2025-11-04,-59451,-22607,17352,-392441,-59451,MODERATE USD BULLISH,3/3,NORMAL BUY USD,1.0x,,,0,Pending,Week 1: All confirmations aligned
2,2025-11-11,,,,,,,,,,,,,,Data releases Nov 14 @ 3:30 PM ET
3,2025-11-18,,,,,,,,,,,,,,Data releases Nov 21 @ 3:30 PM ET
4,2025-11-25,,,,,,,,,,,,FINAL,,Data releases Nov 28 @ 3:30 PM ET
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Gold_Thresholds,Signal,Range,Interpretation,,,,,,,,,,
Gold_Thresholds,STRONG USD BULLISH,"< -70,000",Extremely bearish gold = Very bullish USD,,,,,,,,,,
Gold_Thresholds,MODERATE USD BULLISH,"-70,000 to -50,000",Bearish gold = Bullish USD,,,,,,,,,,
Gold_Thresholds,NEUTRAL,"-50,000 to -30,000",Uncertain/no clear signal,,,,,,,,,,
Gold_Thresholds,MODERATE USD BEARISH,"-30,000 to -10,000",Bullish gold = Bearish USD,,,,,,,,,,
Gold_Thresholds,STRONG USD BEARISH,"> -10,000",Very bullish gold = Very bearish USD,,,,,,,,,,
,,,,,,,,,,,,,,,
Confirmation_Thresholds,Signal,Threshold,Interpretation,,,,,,,,,,
Confirmation_Thresholds,Silver Commercial Net,"< -20,000",Bearish silver confirms USD bullish,,,,,,,,,,
Confirmation_Thresholds,DXY Dealer Net,"> 0",Bullish USD Index confirms,,,,,,,,,,
Confirmation_Thresholds,EUR Dealer Net,"< -100,000",Bearish Euro confirms USD bullish,,,,,,,,,,
,,,,,,,,,,,,,,,
Decision_Matrix,Gold_Signal,Required_Confirmations,Action,Position_Size,Risk_Level,,,,,,,,,
Decision_Matrix,STRONG USD BULLISH,2/3,FULL BUY USD,2.0x,High,,,,,,,,,
Decision_Matrix,STRONG USD BULLISH,1/3,HALF BUY USD,0.5x,Low,,,,,,,,,
Decision_Matrix,MODERATE USD BULLISH,2/3,NORMAL BUY USD,1.0x,Medium,,,,,,,,,
Decision_Matrix,MODERATE USD BULLISH,1/3,HALF BUY USD,0.5x,Low,,,,,,,,,
Decision_Matrix,NEUTRAL,Any,NO TRADE,0x,None,,,,,,,,,
Decision_Matrix,MODERATE USD BEARISH,2/3,NORMAL SELL USD,1.0x,Medium,,,,,,,,,
Decision_Matrix,STRONG USD BEARISH,2/3,FULL SELL USD,2.0x,High,,,,,,,,,
,,,,,,,,,,,,,,,
Risk_Management,Account_Size,10000,USD,,,,,,,,,,
Risk_Management,Risk_Per_Trade,1.00%,,,,,,,,,,,
Risk_Management,Maximum_Drawdown,20%,,,,,,,,,,,
,,,,,,,,,,,,,,,
Position_Calculator,Decision,Pips_Risked,Lot_Size,USD_Risk,Stop_Loss_Percent,Notes,,,,,,,,
Position_Calculator,FULL BUY USD (2.0x),300,0.20,200,2.0%,Double normal position,,,,,,,,
Position_Calculator,NORMAL BUY USD (1.0x),300,0.10,100,1.0%,Standard position,,,,,,,,
Position_Calculator,HALF BUY USD (0.5x),300,0.05,50,0.5%,Conservative position,,,,,,,,
Position_Calculator,NORMAL SELL USD (1.0x),300,0.10,100,1.0%,Standard short position,,,,,,,,
Position_Calculator,FULL SELL USD (2.0x),300,0.20,200,2.0%,Double normal short,,,,,,,,
,,,,,,,,,,,,,,,
Weekly_Guide,Step,File,Section,Look_For,Calculation,Interpretation,,,,,,,,
Weekly_Guide,1,Metals File,Gold (Code: 088691),Producer/Merchant Short & Long,Short - Long,Negative = Bullish USD,,,,,,,,
Weekly_Guide,2,Metals File,Silver (Code: 084691),Producer/Merchant Short & Long,Short - Long,Negative = Bullish USD,,,,,,,,
Weekly_Guide,3,Financials File,USD Index (Code: 098662),Dealer Long & Short,Long - Short,Positive = Bullish USD,,,,,,,,
Weekly_Guide,4,Financials File,Euro FX (Code: 099741),Dealer Long & Short,Long - Short,Negative = Bullish USD,,,,,,,,
,,,,,,,,,,,,,,,
Calendar,Date,Day,Event,Action_Required,Deadline,,,,,,,,,
Calendar,Nov 4,Tuesday,Week 1 COT Data,ANALYSIS COMPLETE: Moderate Buy USD,Complete,,,,,,,,,
Calendar,Nov 14,Friday,Week 2 COT Data @ 3:30 PM ET,Download & Update Spreadsheet,4:00 PM ET,,,,,,,,,
Calendar,Nov 21,Friday,Week 3 COT Data @ 3:30 PM ET,Download & Update - 3-week average,4:00 PM ET,,,,,,,,,
Calendar,Nov 28,Friday,Week 4 COT Data @ 3:30 PM ET,FINAL DECISION: Enter December Position,4:00 PM ET,,,,,,,,,
Calendar,Nov 28,Friday,December Position Entry,Execute trade based on final analysis,Market Close,,,,,,,,,
,,,,,,,,,,,,,,,
Position_Tracking,Instrument,Entry_Date,Entry_Price,Position_Size,Stop_Loss,Take_Profit,Exit_Date,Exit_Price,P/L_Percent,P/L_USD,Status,,,
Position_Tracking,USD/ZAR,2025-11-28,TBD,1.0x,TBD,TBD,2025-12-26,TBD,0,0,Pending,,,
,,,,,,,,,,,,,,,
Performance,Month,Signal,Entry_Date,Exit_Date,Days_Held,P/L_Percent,Account_Growth,Cumulative_P/L,,,,,,
